License,Franchise,Country,Region,Latitude,Longitude,CountryWikidata,CoordinateSource,FranchiseOriginSource
Fullmetal Alchemist,Fullmetal Alchemist,Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,
Funko,Funko,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
G.I. Joe,G.I. Joe,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Game of Thrones,Game of Thrones,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
General Mills,General Mills,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"General Mills,Trix","General Mills,Trix",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"General Mills,Trix Cereal","General Mills,Trix Cereal",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Genshin Impact,Genshin Impact,China,Asia-Pacific,35.844722,103.451944,Q148,https://www.wikidata.org/wiki/Q148,
Ghostbusters,Ghostbusters,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Glo Worm,Glo Worm,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Godzilla,Godzilla,Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,
Godzilla vs Kong,Godzilla vs Kong,International / Multiple,Global,,,,,
Golden Girls,Golden Girls,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Goofy,Goofy,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Gotham Knights,Gotham Knights,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Green Day,Green Day,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Gremlins,Gremlins,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Guardians of the Galaxy,Guardians of the Galaxy,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
Guns N Roses,Guns N Roses,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Halloween,Halloween,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Halo,Halo,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Hamilton,Hamilton,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Hanna-Barbera,Hanna-Barbera,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Harley Quinn,Harley Quinn,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Harley Quinn,Pops! With Purpose","Harley Quinn,Pops! With Purpose",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Harley Quinn,Suicide Squad","Harley Quinn,Suicide Squad",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Harry Potter,Harry Potter,United Kingdom,Europe,54.6,-2.0,Q145,https://www.wikidata.org/wiki/Q145,https://www.wikidata.org/wiki/Q8337
Hasbro,Hasbro,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Haunted Mansion,Haunted Mansion,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Hawkeye,Hawkeye,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Hello Kitty,Naruto Shippuden,Sanrio","Hello Kitty,Naruto Shippuden,Sanrio",Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,https://www.wikidata.org/wiki/Q26971382
Hercules,Hercules,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Hocus Pocus,Hocus Pocus,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Honey Smacks,""Kelloggs""","Honey Smacks,""Kelloggs""",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Hulk,Hulk,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Hulk,Marvel Lucha Libre Edition","Hulk,Marvel Lucha Libre Edition",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
Hunter X Hunter,Hunter X Hunter,Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,
Ice Cube,Ice Cube,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Infinity Saga,Iron Man","Infinity Saga,Iron Man",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Infinity Saga,Thor","Infinity Saga,Thor",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
Iron Maiden,Iron Maiden,United Kingdom,Europe,54.6,-2.0,Q145,https://www.wikidata.org/wiki/Q145,
Iron Man,Iron Man,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Iron Man,Marvel Lucha Libre Edition","Iron Man,Marvel Lucha Libre Edition",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Iron Man,Pops! With Purpose","Iron Man,Pops! With Purpose",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Iron Man,Spider-Man","Iron Man,Spider-Man",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Iron Man,What If","Iron Man,What If",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
IT,IT,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"IT,Maleficent","IT,Maleficent",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Jaws,Jaws,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Jean-Michel Basquiat,Jean-Michel Basquiat,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Jimi Hendrix,Jimi Hendrix,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Jingle All The Way,Jingle All The Way,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Joan Jett,Joan Jett,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
John Lennon,John Lennon,United Kingdom,Europe,54.6,-2.0,Q145,https://www.wikidata.org/wiki/Q145,
Jonathan Davis,Jonathan Davis,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Jujutsu Kaisen,Jujutsu Kaisen,Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,
Junji Ito Collection,Junji Ito Collection,Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,
Jurassic Park,Jurassic Park,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Jurassic World Dominion,Jurassic World Dominion,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Justice League,Justice League,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Kawaii Village,Kawaii Village,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
KISS,KISS,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Kool-Aid,Kool-Aid,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Legally Blonde,Legally Blonde,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Leprechaun,Leprechaun,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Letterkenny,Letterkenny,Canada,North America,60.0,-110.0,Q16,https://www.wikidata.org/wiki/Q16,
Lightyear,Lightyear,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Lil Wayne,Lil Wayne,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Lilo & Stitch,Lilo & Stitch,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Lilo & Stitch,Walt Disney World 50th","Lilo & Stitch,Walt Disney World 50th",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Little Golden Books,Universal Monsters","Little Golden Books,Universal Monsters",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Loki,Loki,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Loki,Mech Strike","Loki,Mech Strike",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Loki,Venom","Loki,Venom",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
Machine Gun Kelly,Machine Gun Kelly,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
