Convention,City,Country,Region,Year,Attendance,Latitude,Longitude,CountingMethod,AttendanceSource,CoordinateSource
G-STAR,Busan,South Korea,Asia-Pacific,2024,215000,35.169135,129.136288,Estimated total visitors across four days,https://www.yna.co.kr/view/AKR20241117047700017,https://www.wikidata.org/wiki/Q626126
Thailand Game Show,Bangkok,Thailand,Asia-Pacific,2024,185876,13.723992,100.559222,Reported participants across three days,https://www.oneesports.co.th/gaming/thailand-game-show-2024-2/,https://www.wikidata.org/wiki/Q840894
COMICON Napoli,Naples,Italy,Europe,2024,175000,40.825266,14.191158,"Reported visitors across four days; official figure stated as over 175,000",https://napoli2024.comicon.it/news/392/comicon-napoli-2024-ringrazia-i-175-000-visitatori-della-xxiv-edizione.html,https://www.palazzoesedra.it/en/where-we-are/how-to-get-there
Manga Barcelona,Barcelona,Spain,Europe,2024,167000,41.354514,2.129147,"Reported visitors; official figure stated as more than 167,000",https://www.manga-barcelona.com/es/noticias.cfm/id/38591/un-30-cumpleanyos-historico.htm,https://commons.wikimedia.org/wiki/Category:Gran_Via_venue_of_Fira_de_Barcelona
San Diego Comic-Con,San Diego,United States,North America,2019,130000,32.70639,-117.16139,Approximate actual attendance,https://connect.sandiego.org/wp-content/uploads/2022/06/Comic-Con-Convention-Profile.pdf,https://en.wikipedia.org/wiki/San_Diego_Comic-Con
Fan Expo Canada,Toronto,Canada,North America,2019,129000,43.64384,-79.38664,"Reported as over 129,000 people",https://fancons.ca/events/info/11943/fanexpo-canada-2019,https://www.openstreetmap.org/way/32023077
MCM London Comic Con,London,United Kingdom,Europe,2019,100000,51.50813,0.02972,Approximate visitors over three days,https://www.celsys.com/en/clipsolution/mcmcomiccon/,https://www.openstreetmap.org/way/10371164
Emerald City Comic Con,Seattle,United States,North America,2026,90000,47.61194,-122.33139,"Reported fans; official figure stated as over 90,000",https://www.emeraldcitycomiccon.com/en-us/about/faq-policies.html,https://en.wikipedia.org/wiki/Seattle_Convention_Center
Gen Con,Indianapolis,United States,North America,2024,71000,39.765306,-86.1625,"Unique attendees; official figure stated as over 71,000",https://www.gencon.com/press/gen-con-2024-breaks-attendance-records-press-release,https://www.wikidata.org/wiki/Q6023120
Comic Con Africa,Johannesburg,South Africa,Africa,2024,70000,-26.24163,27.98157,Reported visitors across four days,https://media.bigambitions.co.za/press_release/comic-con-africa-2024-draws-70000-visitors/,https://mapcarta.com/W59636972
E3,Los Angeles,United States,North America,2019,66100,34.039737,-118.270293,Reported attendance,https://en.wikipedia.org/wiki/E3_2019,https://www.wikidata.org/wiki/Q564589
Comic Fiesta,Kuala Lumpur,Malaysia,Asia-Pacific,2019,65000,3.15432,101.71353,Reported visitors,https://en.wikipedia.org/wiki/Comic_Fiesta,https://www.openstreetmap.org/way/23034402
DreamHack Stockholm,Stockholm,Sweden,Europe,2025,60000,59.277778,18.015278,"Official figure stated as over 60,000 people",https://dreamhack.com/blog/2025/11/30/dreamhack-shatters-attendance-record-with-60000-fans-confirms-return-to-stockholm-in-2026/,https://www.wikidata.org/wiki/Q1935333
Delhi Comic Con,New Delhi,India,Asia-Pacific,2024,52000,28.549148,77.265605,"Reported attendees; figure stated as over 52,000",https://indianexpress.com/article/trending/trending-in-india/comic-con-india-founder-jatin-varma-interview-on-pop-culture-gaming-9719267/,https://www.tradefairdates.com/Exhibition-Centre-NSIC-Exhibition-Ground-New-Delhi-ZS2488.html
Otakon,"Washington, D.C.",United States,North America,2024,46000,38.9051,-77.023,"Total memberships/attendees including staff, dealers, artists, industry, contractors, guests and press",https://eventsdc.com/news/otakon-attendance-reaches-new-record-46000,https://www.wikidata.org/wiki/Q7806370
BlizzCon,Anaheim,United States,North America,2019,40000,33.802455,-117.919843,"Official figure stated as more than 40,000 attendees",https://investor.activision.com/node/32936,https://www.wikidata.org/wiki/Q4750878
Middle East Film & Comic Con,Abu Dhabi,United Arab Emirates,Middle East,2024,38000,24.419814,54.437269,"Reported visitors; record-breaking figure stated as over 38,000",https://www.jetro.go.jp/uae/topics/_520773.html,https://www.wikidata.org/wiki/Q4670147
Otakuthon,Montreal,Canada,North America,2024,36280,45.504444,-73.56,Reported attendance,https://cdn.otakuthon.com/2024res/pdf/press-releases/Otakuthon%202024%20-%20A%20new%20record.pdf,https://www.wikidata.org/wiki/Q2476712
Comic Con Cape Town,Cape Town,South Africa,Africa,2023,27484,-33.916,18.427,Reported attendees across four days,https://www.capetown.gov.za/Media-and-news/City%20teams%20up%20with%20Comic%20Con%20for%20epic%20trilogy,https://en.wikipedia.org/wiki/Cape_Town_International_Convention_Centre
